Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Landbou-insette,                            Agriculture                                    ,"Consumable expendable inputs in agricultural production for both crops and livestock, for example fertilisers, seeds, veterinary drugs, etc.",Agricultural inputs,Iinsetjenziswa zokulima,Amagalelo ezolimo,Izinsizamikhiqizo zezolimo,Dithušatšweletšo temong,Dintlafatsi tsa temothuo,Dithusa-tlhagiso tsa temothuo,Tisetjentiswa tetekulima,Thikhedzo dza zwa vhulimivhufuwi,Swinonisi
Jaargewasse,                            Agriculture                                    ,Crops that are planted and harvested during the same production season.,Annual crops,Isivuno somnyaka,Izilimo zonyaka,izitshalo zonyaka,Dibjalo tša ngwaga,Dijalo tsa selemo tsa hang ka selemo,Dijwalo tsa ngwaga,Sivuno semnyaka,Zwikaṋwa zwa ṅwaha,Swimilanguva
Oppervlakte geoes vir graan,                            Agriculture                                    ,"Area harvested for dry grain (whole grain, seed, beans or unshelled nuts) for commercial purposes, or to be retained for seed, animal feed or human consumption. It therefore excludes areas planted but not harvested owing to hail damage, fire, grazing, etc., and areas harvested but not used for grain, but for silage, etc.",Area harvested for grain,isikhekhe esivunelwe ukudla,Ummandla ovunwe isivuno esiziinkozo,Insimu okuvunwe kuyo okusanhlamvu,Palomoka ya tema ya puno ya leroro,Masimo a kotulo ya dijothollo,Kgaolokotutsweng tlhaka/thoro,Indzawo levunelwe lokusaluhlavu,Tsimu / vhupo khaṋelwathoro,Ndhawu ya ntshovelo wa rimbewundzhoho
Oppervlakte beplant vir graan,                            Agriculture                                    ,"That part of the total area planted that is planted with the intention of harvesting it for grain rather than for silage, grazing or fodder.",Area planted for grain,isikhekhe esitjalelwe ukudla,Ummandla otyalwe ukutya okuziinkozo,Insimu etshalwe okusanhlamvu,Tema ye e lemetšwego leroro/tema ye e lemetšwego dijothoro,Masimo a temo ya dijothollo,Kgaolo e jwetsweng tlhaka/thoro; kgaolojwetsweng,Indzawo lehlanyelelwe lokusaluhlavu,Tsimu /vhupo ndimelwathoro / ngobelelwathoro,Ndhawu yo byala rimbewundzoho
Kontantgewas,                           Agriculture                                   ,Crop grown for sale rather than for consumption on the farm. Synonym is food crop.,Cash crop,Ukudla kokuthengisa,Isilimo esinengeniso,Izitshalo ezizothengiswa,Dibjalo tša go rekišwa,Dijalo tse rekiswang,Dijwalothekiso,Silimo sekutsengiswa,Tshizwalwa / tshimela ndimelwathengiso,Xirimiwanxaviso
Graangewasse,                           Agriculture                                   ,"Wheat, coarse grains and rice.",Cereals,Ukudla okumasiriyeli,Iisiriyeli,Amasiriyeli,Diserili/dijothoro,Dijothollo; diserele,Dijalothoro,Inhlavumabele,Zwa thoro,Mavelendzoho
Kommersiële plaas,                           Agriculture                                   ,"A farm producing agricultural products intended for the market, usually registered for value added tax (VAT) and income tax.",Commercial farm,Iplasi ethengisako,Ifama yorhwebo,Ipulazi lohwebo,Polase ya bogwebi,Polasi ya kgwebo; polasi ya ho hweba,Polasekgwebo,Lipulazi letekuhweba,Bulasi ya bindu,Purasi ra bindzu
Kommersiële boer,                           Agriculture                                   ,A person who produces agricultural products intended for the market. See subsistence farmer.,Commercial farmer,Umlimi othengisako,Umfama ongumrhwebi,Umlimi/ umfuyi ohwebayo,Molemi wa bogwebi,Molemirui ya rekisang,Molemirui wa mogwebi,Umlimi lohwebako,Mulimimufuwi mubindudzi,Murimimufuwi wa bindzu
Oesskatting,                            Agriculture                                       ,Quantitative determination of crop yield after harvest.,Crop estimate,Isilinganiso sesivuno,Umlinganiselo wesivuno,Isilinganiselomkhiqizo sezitshalo,Tekanyetšo ya morago ga puno,Dipalopalo tsa tekanyetso ya kotulo; kakanyo ya kotulo,Tekanyetsothobo,Silinganisosivuno,Ngaganyakhaṋo,Nkumbetelontshovelo
Oesvooruitskatting,                            Agriculture                                       ,Quantitative approximation of the crop yield prepared and released before harvest.,Crop forecast,Isilinganiso sokuzokuvunwa,Uqikelelo lwesivuno,Isibikezelomkhiqizo sezitshalo,Tekanyetšo ya pele ga puno,Dipalopalo tse lebeletsweng tsa kotulo; ditebello tsa kotulo,Ponelopele ya thobo; ponelopelethobo,Kuhlawumbelisa sivuno,Nganganya-/ mvumbakhaṋo,Mvhumbontshovelo
Gekultiveerde bate,                            Agriculture                                       ,"Livestock for breeding (including fish and poultry), dairy, draught, etc. and vineyards, orchards and other plantations of trees yielding repeat products that are under the direct management of the institutional units.",Cultivated assets,Ifuyo neentjalo / Nesivuno,ii-asethi eziveliswayo / ezinemveliso,Impahla yokukhiqiza / Izitshalo nemfuyo yokukhiqiza,Dithoto tša temo tše di bušeletšago tšweletšo,Leruo la temo / Bohwai,Letlotlotemothuo,Imphahla / Imfuyo yekukhicita / Yekwandzisa,Ndaka ya vhufuwi na vhulimi,Rifuwovurimi
Drupbesproeiing,                            Agriculture                                       ,"Irrigation practice which minimises the use of water and fertiliser by allowing water to drop slowly to the roots of plants, either onto the soil surface, or directly to the root zone, through a network of valves, pipes, tubing and emitters.",Drip irrigation,Ithelelelothontiselo / Ithelelelo / Isezelo elifethezako,unkcenkceshelo oluthontsizayo,Ukunisela ngamaconsi,Nošetšo ka marothi,Nosetso ka ho rothisetsa,Nosetsothotho / Nosetsorothodi / Nosetsorothela,Kunisela ngematfonsi / Ngekunyenyeta,Tsheledzo nga phophiso,Ncheleto wo thona
Voorligtingsbeampte,                            Agriculture                                  ,Person trained in agriculture and employed by the Department of Agriculture or any other body responsible for rendering assistance to farmers to promote good farming practices.,Extension officer,Umlimisi,Igosa lezolimo,Umeluleki wezolimo,Mothuša balemi,Molemisi,Molemisi,Umlimisi,Mulimisi,Murimisi
Plaas,                            Agriculture                                  ,"An area of land, together with its buildings, concerned with the growing of crops or the raising of animals.",Farm,Iplasi,"ifama, intsimi",Ipulazi,Polase,Polasi,Polase,Lipulazi / Lipulasi / Lifama,Bulasi,Purasi
Boerderyeenheid,                            Agriculture                                  ,"One or more farms, smallholdings or pieces of land, whether adjacent or not, operated as a single unit and situated within the same magisterial district or province, on which cultivation is carried out for both commercial and non-commercial purposes, in the open air or under cover. It includes land rented from others, the farmstead and other buildings, cropland, pasture, veld, wasteland and dams, but excludes land leased to others. A farming unit could be owned by a single person, partnership, company, or close corporation, etc.",Farming unit (Industry and Trade),Ihlangothi lokulima (irhwebo ne-indastri),Icandelo lefama/ iifama (Imveliso noRhwebo),Ingxenye yepulazi,Yuniti ya temo,Yuniti ya temothuo,Polase,Lipulazi,Tshipiḓa tsha vhulimivhufuwi (Nḓowetshumo na Vhubindudzi),Yuniti ya purasi
